,,nn_result,threshold_result,average_result,hmm_bino_result,hmm_gmm_result,hmm_bino_threshold_result,svm_result
crnn_proportion_025,pred event,[1 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 1 1 ... 1 1 1],
crnn_proportion_025,label event,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],
lenet_proportion_075,confusion matrix,"[[795783.   2965.]
 [  1418.   6234.]]","[[795248.   2754.]
 [  1953.   6445.]]","[[795248.   2754.]
 [  1953.   6445.]]","[[795926.   2622.]
 [  1275.   6577.]]","[[790337.   1637.]
 [  6864.   7562.]]","[[795546.   2460.]
 [  1655.   6739.]]",
lenet_proportion_075,segment precision,0.8146889702038683,0.7674446296737318,0.7674446296737318,0.8376209882832399,0.524192430334119,0.8028353585894686,
lenet_proportion_075,sgement recall,0.6776823567779107,0.7006196325687575,0.7006196325687575,0.7149690183715621,0.8220458745515817,0.7325796282204587,
lenet_proportion_075,sgement F-score,0.7398967420331137,0.7325112235040063,0.7325112235040063,0.7714503548178993,0.6401693121693122,0.7661001534701302,
lenet_proportion_075,number of label,1858,1858,1858,1858,1858,1858,
lenet_proportion_075,number of prediction,2787,3066,3066,1499,1870,1553,
lenet_proportion_075,number of matching event,1594.0,1624.0,1624.0,1420.0,1532.0,1436.0,
lenet_proportion_075,total matching iou,1073.2512987012988,1111.4560606060604,1111.4560606060604,1147.2953948141637,1186.4406413724319,1163.3515560505882,
lenet_proportion_075,encounter number error,929,1208,1208,359,12,305,
lenet_proportion_075,encounter error rate,0.5,0.6501614639397201,0.6501614639397201,0.19321851453175456,0.006458557588805167,0.16415500538213132,
lenet_proportion_075,event precision,0.5719411553641909,0.5296803652968036,0.5296803652968036,0.9472981987991995,0.8192513368983957,0.9246619446233098,
lenet_proportion_075,event recall,0.8579117330462863,0.8740581270182992,0.8740581270182992,0.7642626480086114,0.8245425188374597,0.7728740581270183,
lenet_proportion_075,event F-score,0.686329386437029,0.6596263200649878,0.6596263200649878,0.8459934465296396,0.8218884120171673,0.8419818235121665,
lenet_proportion_075,pred event,[1 0 0 ... 0 0 0],[1 1 0 ... 0 0 0],[1 1 0 ... 0 0 0],[1 1 1 ... 1 1 1],[1 0 0 ... 1 1 1],[1 1 1 ... 1 1 1],
lenet_proportion_075,label event,[0 1 0 ... 1 1 1],[1 1 0 ... 1 1 1],[1 1 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 1 0 ... 1 1 1],[0 0 0 ... 1 1 1],
lenet_proportion_050,confusion matrix,"[[795175.   3173.]
 [  2026.   6026.]]","[[794822.   2968.]
 [  2379.   6231.]]","[[794437.   2827.]
 [  2764.   6372.]]","[[795253.   2759.]
 [  1948.   6440.]]","[[788982.   1682.]
 [  8219.   7517.]]","[[795022.   2589.]
 [  2179.   6610.]]",
lenet_proportion_050,segment precision,0.7483854942871336,0.7236933797909407,0.6974605954465849,0.7677634716261326,0.4776944585663447,0.7520764592103766,
lenet_proportion_050,sgement recall,0.655071203391673,0.6773562343733014,0.6926839873899336,0.7000760952277422,0.8171540384824437,0.7185563648222633,
