,,shift_step_-1.000_nn_result,shift_step_-1.000_threshold_result,shift_step_-1.000_average_result,shift_step_-1.000_hmm_bino_result,shift_step_-1.000_hmm_gmm_result,shift_step_-1.000_hmm_bino_threshold_result,shift_step_-0.500_nn_result,shift_step_-0.500_threshold_result,shift_step_-0.500_average_result,shift_step_-0.500_hmm_bino_result,shift_step_-0.500_hmm_gmm_result,shift_step_-0.500_hmm_bino_threshold_result,shift_step_0.500_nn_result,shift_step_0.500_threshold_result,shift_step_0.500_average_result,shift_step_0.500_hmm_bino_result,shift_step_0.500_hmm_gmm_result,shift_step_0.500_hmm_bino_threshold_result,shift_step_1.000_nn_result,shift_step_1.000_threshold_result,shift_step_1.000_average_result,shift_step_1.000_hmm_bino_result,shift_step_1.000_hmm_gmm_result,shift_step_1.000_hmm_bino_threshold_result,stretch_rate_0.810_nn_result,stretch_rate_0.810_threshold_result,stretch_rate_0.810_average_result,stretch_rate_0.810_hmm_bino_result,stretch_rate_0.810_hmm_gmm_result,stretch_rate_0.810_hmm_bino_threshold_result,stretch_rate_0.930_nn_result,stretch_rate_0.930_threshold_result,stretch_rate_0.930_average_result,stretch_rate_0.930_hmm_bino_result,stretch_rate_0.930_hmm_gmm_result,stretch_rate_0.930_hmm_bino_threshold_result,stretch_rate_1.070_nn_result,stretch_rate_1.070_threshold_result,stretch_rate_1.070_average_result,stretch_rate_1.070_hmm_bino_result,stretch_rate_1.070_hmm_gmm_result,stretch_rate_1.070_hmm_bino_threshold_result,stretch_rate_1.230_nn_result,stretch_rate_1.230_threshold_result,stretch_rate_1.230_average_result,stretch_rate_1.230_hmm_bino_result,stretch_rate_1.230_hmm_gmm_result,stretch_rate_1.230_hmm_bino_threshold_result,crop_rate_0.900_nn_result,crop_rate_0.900_threshold_result,crop_rate_0.900_average_result,crop_rate_0.900_hmm_bino_result,crop_rate_0.900_hmm_gmm_result,crop_rate_0.900_hmm_bino_threshold_result,crop_rate_0.800_nn_result,crop_rate_0.800_threshold_result,crop_rate_0.800_average_result,crop_rate_0.800_hmm_bino_result,crop_rate_0.800_hmm_gmm_result,crop_rate_0.800_hmm_bino_threshold_result,crop_rate_0.700_nn_result,crop_rate_0.700_threshold_result,crop_rate_0.700_average_result,crop_rate_0.700_hmm_bino_result,crop_rate_0.700_hmm_gmm_result,crop_rate_0.700_hmm_bino_threshold_result,crop_rate_0.600_nn_result,crop_rate_0.600_threshold_result,crop_rate_0.600_average_result,crop_rate_0.600_hmm_bino_result,crop_rate_0.600_hmm_gmm_result,crop_rate_0.600_hmm_bino_threshold_result,shift_step_-1.000_svm_result,shift_step_-0.500_svm_result,shift_step_0.500_svm_result,shift_step_1.000_svm_result,stretch_rate_0.810_svm_result,stretch_rate_0.930_svm_result,stretch_rate_1.070_svm_result,stretch_rate_1.230_svm_result,crop_rate_0.900_svm_result,crop_rate_0.800_svm_result,crop_rate_0.700_svm_result,crop_rate_0.600_svm_result
crnn_picth_shift,event precision,0.8886075949367088,0.8973868706182282,0.8973868706182282,0.9658848614072495,0.8299477655252466,0.9700427960057061,0.8876664736537349,0.8935672514619883,0.8935672514619883,0.9638476436410588,0.8474025974025974,0.9650032404407,0.8648960739030023,0.877906976744186,0.877906976744186,0.960429242119383,0.8475877192982456,0.9657718120805369,0.7858048162230672,0.8050032071840924,0.8050032071840924,0.9443079443079443,0.8155048076923077,0.9491803278688524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,event recall,0.7556512378902045,0.7578040904198062,0.7578040904198062,0.7314316469321851,0.7696447793326158,0.7319698600645855,0.8250807319698601,0.8223896663078579,0.8223896663078579,0.8035522066738429,0.8428417653390743,0.8013993541442411,0.806243272335845,0.8127018299246501,0.8127018299246501,0.7707212055974165,0.8320775026910656,0.7744886975242196,0.667384284176534,0.6754574811625403,0.6754574811625403,0.6205597416576965,0.7303552206673842,0.6232508073196986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,event F-score,0.8167539267015707,0.8217099503939306,0.8217099503939306,0.8324655436447167,0.7986595922926557,0.8343558282208589,0.8552301255230126,0.8565022421524664,0.8565022421524664,0.876430877604931,0.8451160280626012,0.8756248162305205,0.8345403899721449,0.8440469536053661,0.8440469536053661,0.8551806509405793,0.8397609994568169,0.8596176821983273,0.7217694994179278,0.7345624817091015,0.7345624817091015,0.7489444624878208,0.7705848949460534,0.7524366471734892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,pred event,[1 0 0 ... 0 0 0],[1 0 0 ... 1 1 0],[1 0 0 ... 1 1 0],[1 0 0 ... 1 1 1],[1 1 1 ... 0 0 0],[1 0 0 ... 1 1 1],[1 1 0 ... 0 0 0],[1 1 0 ... 0 0 0],[1 1 0 ... 0 0 0],[0 1 0 ... 1 1 1],[0 1 1 ... 0 0 0],[0 1 0 ... 1 1 1],[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[1 1 1 ... 1 0 0],[0 0 0 ... 0 0 0],[1 1 1 ... 1 0 0],[1 1 1 ... 0 0 0],[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 0 ... 0 0 0],[1 1 1 ... 1 1 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,label event,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[1 0 1 ... 1 1 1],[0 0 0 ... 1 1 1],[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 1 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_time_stretch,confusion matrix,,,,,,,,,,,,,,,,,,,,,,,,,"[[7.96572e+05 2.03200e+03]
 [6.29000e+02 7.16700e+03]]","[[7.96542e+05 1.97500e+03]
 [6.59000e+02 7.22400e+03]]","[[7.96542e+05 1.97500e+03]
 [6.59000e+02 7.22400e+03]]","[[7.96622e+05 2.07000e+03]
 [5.79000e+02 7.12900e+03]]","[[790982.    894.]
 [  6219.   8305.]]","[[7.96589e+05 2.01000e+03]
 [6.12000e+02 7.18900e+03]]","[[7.96615e+05 2.03300e+03]
 [5.86000e+02 7.16600e+03]]","[[7.96581e+05 1.99400e+03]
 [6.20000e+02 7.20500e+03]]","[[7.96581e+05 1.99400e+03]
 [6.20000e+02 7.20500e+03]]","[[7.96688e+05 2.07600e+03]
 [5.13000e+02 7.12300e+03]]","[[791053.    857.]
 [  6148.   8342.]]","[[7.96647e+05 2.04000e+03]
 [5.54000e+02 7.15900e+03]]","[[7.96571e+05 2.04800e+03]
 [6.30000e+02 7.15100e+03]]","[[7.96564e+05 2.00500e+03]
 [6.37000e+02 7.19400e+03]]","[[7.96564e+05 2.00500e+03]
 [6.37000e+02 7.19400e+03]]","[[7.96623e+05 2.08100e+03]
 [5.78000e+02 7.11800e+03]]","[[790853.    928.]
 [  6348.   8271.]]","[[7.96601e+05 2.05000e+03]
 [6.00000e+02 7.14900e+03]]","[[7.96619e+05 2.11000e+03]
 [5.82000e+02 7.08900e+03]]","[[7.96565e+05 2.04000e+03]
 [6.36000e+02 7.15900e+03]]","[[7.96565e+05 2.04000e+03]
 [6.36000e+02 7.15900e+03]]","[[7.96649e+05 2.11800e+03]
 [5.52000e+02 7.08100e+03]]","[[791252.    970.]
 [  5949.   8229.]]","[[7.96591e+05 2.06100e+03]
 [6.10000e+02 7.13800e+03]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_time_stretch,segment precision,,,,,,,,,,,,,,,,,,,,,,,,,0.9193175987685993,0.9164023848788533,0.9164023848788533,0.924883238194084,0.5718121729551088,0.9215485194205871,0.9244066047471621,0.9207667731629393,0.9207667731629393,0.9328182294394971,0.5757073844030366,0.9281732140541942,0.9190335432463693,0.9186566211211851,0.9186566211211851,0.9248960498960499,0.5657705725425816,0.9225706542779714,0.9241298396558467,0.918409236690186,0.918409236690186,0.9276824315472292,0.5804062632247143,0.9212700051626226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_time_stretch,sgement recall,,,,,,,,,,,,,,,,,,,,,,,,,0.7791064246113708,0.7853027502989456,0.7853027502989456,0.7749755408196544,0.9028155234264594,0.7814979889118382,0.7789977171431678,0.7832373084030873,0.7832373084030873,0.7743232960104359,0.9068376997499729,0.7782367648657462,0.7773671051201217,0.7820415262528536,0.7820415262528536,0.7737797586694206,0.8991194695075552,0.7771496901837156,0.7706272420915317,0.7782367648657462,0.7782367648657462,0.7697575823459072,0.8945537558430264,0.7759539080334819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_time_stretch,sgement F-score,,,,,,,,,,,,,,,,,,,,,,,,,0.8434245366284201,0.8458025992272568,0.8458025992272568,0.8433193351866091,0.7001643974202251,0.845764705882353,0.8454958409533361,0.8464520676691729,0.8464520676691729,0.8462132462132462,0.7042931318333404,0.8466177861873226,0.8422850412249705,0.8448620082207868,0.8448620082207868,0.8426161586268127,0.694516752036275,0.8436393674769884,0.8404267931238886,0.8425326585853831,0.8425326585853831,0.8413735741444867,0.7040253240364461,0.8423909836549242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_time_stretch,number of label,,,,,,,,,,,,,,,,,,,,,,,,,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
